word,tbcl_level,cefr,category,zhuyin,pinyin,written_freq_per_million,spoken_freq_per_million
阿公,4,B1,個人資料,ㄚ ㄍㄨㄥ,ā gōng,10,115
阿嬤/阿媽,4,B1,個人資料,ㄚ ˙ㄇㄚ,ā ma,41,301
哎呀,4,B1,核心詞,ㄞ ˙ㄧㄚ,āi ya,15,28
哎喲,4,B1,核心詞,ㄞ ㄧㄠ,āi yāo,6,24
愛好,4,B1,核心詞,ㄞˋ ㄏㄠˋ,ài hào,15,8
愛情,4,B1,社交、人際,ㄞˋ ㄑㄧㄥˊ,ài qíng,78,12
愛心,4,B1,核心詞,ㄞˋ ㄒㄧㄣ,ài xīn,18,88
安靜,4,B1,日常起居,ㄢ ㄐㄧㄥˋ,ān jìng,54,26
安排,4,B1,核心詞,ㄢ ㄆㄞˊ,ān pái,119,61
按,4,B1,核心詞,ㄢˋ,àn,128,39
按照,4,B1,核心詞,ㄢˋ ㄓㄠˋ,àn zhào,54,34
擺,4,B1,核心詞,ㄅㄞˇ,bǎi,71,55
拜拜,4,B1,個人資料,ㄅㄞˋ ㄅㄞˋ,bài bài,4,66
班機,4,B1,交通、旅遊,ㄅㄢ ㄐㄧ,bān jī,5,4
半天,4,B1,核心詞,ㄅㄢˋ ㄊㄧㄢ,bàn tiān,0,0
抱,4,B1,核心詞,ㄅㄠˋ,bào,96,66
報名,4,B1,教育、學習,ㄅㄠˋ ㄇㄧㄥˊ,bào míng,9,13
抱歉,4,B1,社交、人際,ㄅㄠˋ ㄑㄧㄢˋ,bào qiàn,30,12
抱怨,4,B1,核心詞,ㄅㄠˋ ㄩㄢˋ,bào yuàn,71,22
笨蛋,4,B1,核心詞,ㄅㄣˋ ㄉㄢˋ,bèn dàn,11,2
筆記,4,B1,教育、學習,ㄅㄧˇ ㄐㄧˋ,bǐ jì,28,14
筆記本,4,B1,教育、學習,ㄅㄧˇ ㄐㄧˋ ㄅㄣˇ,bǐ jì běn,13,5
比如說/比如,4,B1,核心詞,ㄅㄧˇ ㄖㄨˊㄕㄨㄛ/ㄅㄧˇ ㄖㄨˊ,bǐ rú shuō/bǐ rú,62,260
必需,4,B1,核心詞,ㄅㄧˋ ㄒㄩ,bì xū,8,7
必要,4,B1,核心詞,ㄅㄧˋ ㄧㄠˋ,bì yào,112,39
變成,4,B1,核心詞,ㄅㄧㄢˋ ㄔㄥˊ,biàn chéng,312,540
變化,4,B1,核心詞,ㄅㄧㄢˋ ㄏㄨㄚˋ,biàn huà,146,184
便利,4,B1,購物、商店,ㄅㄧㄢˋ ㄌㄧˋ,biàn lì,16,25
表2,4,B1,核心詞,ㄅㄧㄠˇ,biǎo,39,39
表情,4,B1,核心詞,ㄅㄧㄠˇ ㄑㄧㄥˊ,biǎo qíng,87,28
表現,4,B1,教育、學習,ㄅㄧㄠˇ ㄒㄧㄢˋ,biǎo xiàn,237,84
表演,4,B1,休閒、娛樂,ㄅㄧㄠˇ ㄧㄢˇ,biǎo yǎn,66,99
病房,4,B1,身體、醫療,ㄅㄧㄥˋ ㄈㄤˊ,bìng fáng,21,27
並且,4,B1,核心詞,ㄅㄧㄥˋ ㄑㄧㄝˇ,bìng qiě,225,137
玻璃,4,B1,日常起居,ㄅㄛ ㄌㄧˊ,bō lí,42,38
博士,4,B1,教育、學習,ㄅㄛˊ ㄕˋ,bó shì,111,415
博物館,4,B1,休閒、娛樂,ㄅㄛˊ ㄨˋ ㄍㄨㄢˇ,bó wù guǎn,29,45
不斷,4,B1,核心詞,ㄅㄨˊ ㄉㄨㄢˋ,bú duàn,257,233
不論,4,B1,核心詞,ㄅㄨˊ ㄌㄨㄣˋ,bú lùn,108,56
補習班,4,B1,教育、學習,ㄅㄨˇ ㄒㄧˊ ㄅㄢ,bǔ xí bān,10,12
不得不,4,B1,核心詞,ㄅㄨˋ ㄉㄜˊ ㄅㄨˋ,bù dé bù,83,21
不如,4,B1,核心詞,ㄅㄨˋ ㄖㄨˊ,bù rú,86,39
不行,4,B1,核心詞,ㄅㄨˋ ㄒㄧㄥˊ,bù xíng,70,93
擦,4,B1,核心詞,ㄘㄚ,cā,39,55
猜,4,B1,核心詞,ㄘㄞ,cāi,47,39
材料,4,B1,餐飲、烹飪,ㄘㄞˊ ㄌㄧㄠˋ,cái liào,52,105
曾經/曾,4,B1,核心詞,ㄘㄥˊ ㄐㄧㄥ/ㄘㄥˊ,céng jīng/céng,687,517
差一點/差點,4,B1,核心詞,ㄔㄚ ㄧˋ ㄉㄧㄢ/ㄔㄚ ㄉㄧㄢˇ,chā yì diǎn/chā diǎn,32,21
茶葉,4,B1,餐飲、烹飪,ㄔㄚˊ ㄧㄝˋ,chá yè,11,68
常見,4,B1,核心詞,ㄔㄤˊ ㄐㄧㄢˋ,cháng jiàn,52,34
超過,4,B1,交通、旅遊,ㄔㄠ ㄍㄨㄛˋ,chāo guò,129,244
超級,4,B1,購物、商店,ㄔㄠ ㄐㄧˊ,chāo jí,30,32
潮溼/潮濕,4,B1,交通、旅遊,ㄔㄠˊ ㄕ,cháo shī,13,22
吵架,4,B1,核心詞,ㄔㄠˇ ㄐㄧㄚˋ,chǎo jià,20,48
車禍,4,B1,安全,ㄔㄜ ㄏㄨㄛˋ,chē huò,17,13
車庫,4,B1,,ㄔㄜ ㄎㄨˋ,chē kù,7,1
趁,4,B1,核心詞,ㄔㄣˋ,chèn,41,29
襯衫,4,B1,購物、商店,ㄔㄣˋ ㄕㄢ,chèn shān,22,3
成熟,4,B1,身體、醫療,ㄔㄥˊ ㄕㄡˊ,chéng shóu,64,54
成長,4,B1,職業,ㄔㄥˊ ㄓㄤˇ,chéng zhǎng,188,189
充電,4,B1,核心詞,ㄔㄨㄥ ㄉㄧㄢˋ,chōng diàn,4,17
抽菸/抽煙,4,B1,核心詞,ㄔㄡ ㄧㄢ,chōu yān,22,18
醜,4,B1,核心詞,ㄔㄡˇ,chǒu,19,16
初,4,B1,核心詞,ㄔㄨ,chū,133,75
出發,4,B1,交通、旅遊,ㄔㄨ ㄈㄚ,chū fā,60,59
出現,4,B1,安全,ㄔㄨ ㄒㄧㄢˋ,chū xiàn,458,284
出租,4,B1,日常起居,ㄔㄨ ㄗㄨ,chū zū,6,4
吹,4,B1,核心詞,ㄔㄨㄟ,chuī,53,70
從小,4,B1,核心詞,ㄘㄨㄥˊ ㄒㄧㄠˇ,cóng xiǎo,61,132
粗,4,B1,核心詞,ㄘㄨ,cū,33,29
醋,4,B1,餐飲、烹飪,ㄘㄨˋ,cù,9,13
錯誤,4,B1,核心詞,ㄘㄨㄛˋ ㄨˋ,cuò wù,144,35
答應,4,B1,核心詞,ㄉㄚ ㄧㄥˋ,dā yìng,81,35
打掃,4,B1,日常起居,ㄉㄚˇ ㄙㄠˇ,dǎ sǎo,13,22
打招呼,4,B1,社交、人際,ㄉㄚˇ ㄓㄠ ㄏㄨ,dǎ zhāo hū,20,15
大廳,4,B1,日常起居,ㄉㄚˋ ㄊㄧㄥ,dà tīng,25,3
大小,4,B1,購物、商店,ㄉㄚˋ ㄒㄧㄠˇ,dà xiǎo,72,32
大洋洲,4,B1,,ㄉㄚˋ ㄧㄤˊ ㄓㄡ,dà yáng zhōu,1,0
大自然,4,B1,自然環境,ㄉㄚˋ ㄗˋ ㄖㄢˊ,dà zì rán,52,151
代,4,B1,核心詞,ㄉㄞˋ,dài,159,187
代表,4,B1,核心詞,ㄉㄞˋ ㄅㄧㄠˇ,dài biǎo,203,239
淡,4,B1,核心詞,ㄉㄢˋ,dàn,19,17
當成,4,B1,核心詞,ㄉㄤˋ ㄔㄥˊ,dàng chéng,59,50
當作/當做,4,B1,核心詞,ㄉㄤˋ ㄗㄨㄛˋ,dàng zuò,86,110
倒2,4,B1,核心詞,ㄉㄠˇ,dǎo,166,102
島,4,B1,交通、旅遊,ㄉㄠˇ,dǎo,55,81
導演,4,B1,休閒、娛樂,ㄉㄠˇ ㄧㄢˇ,dǎo yǎn,54,16
倒1,4,B1,核心詞,ㄉㄠˋ,dào,166,102
到期,4,B1,核心詞,ㄉㄠˋ ㄑㄧˊ,dào qí,3,3
地球,4,B1,教育、學習,ㄉㄧˋ ㄑㄧㄡˊ,dì qiú,80,346
地區,4,B1,交通、旅遊,ㄉㄧˋ ㄑㄩ,dì qū,129,329
地攤,4,B1,購物、商店,ㄉㄧˋ ㄊㄢ,dì tān,1,1
地位,4,B1,職業,ㄉㄧˋ ㄨㄟˋ,dì wèi,137,32
地震,4,B1,交通、旅遊,ㄉㄧˋ ㄓㄣˋ,dì zhèn,16,176
典禮,4,B1,社交、人際,ㄉㄧㄢˇ ㄌㄧˇ,diǎn lǐ,16,15
電池,4,B1,購物、商店,ㄉㄧㄢˋ ㄔˊ,diàn chí,12,66
電燈,4,B1,核心詞,ㄉㄧㄢˋ ㄉㄥ,diàn dēng,7,9
電風扇/電扇,4,B1,日常起居,ㄉㄧㄢˋ ㄈㄥ ㄕㄢˋ/ㄉㄧㄢˋ ㄕㄢˋ,diàn fēng shàn/diàn shàn,4,15
電子,4,B1,科技,ㄉㄧㄢˋ ㄗˇ,diàn zǐ,81,42
懂得,4,B1,核心詞,ㄉㄨㄥˇ ˙ㄉㄜ,dǒng de,91,60
棟,4,B1,核心詞,ㄉㄨㄥˋ,dòng,59,60
洞,4,B1,核心詞,ㄉㄨㄥˋ,dòng,90,55
動詞,4,B1,教育、學習,ㄉㄨㄥˋ ㄘˊ,dòng cí,4,2
動物園,4,B1,交通、旅遊,ㄉㄨㄥˋ ㄨˋ ㄩㄢˊ,dòng wù yuán,9,14
動作,4,B1,核心詞,ㄉㄨㄥˋ ㄗㄨㄛˋ,dòng zuò,190,191
都市,4,B1,日常起居,ㄉㄨ ㄕˋ,dū shì,27,79
獨立,4,B1,核心詞,ㄉㄨˊ ㄌㄧˋ,dú lì,98,85
段,4,B1,核心詞,ㄉㄨㄢˋ,duàn,387,341
堆,4,B1,核心詞,ㄉㄨㄟ,duī,117,65
隊,4,B1,休閒、娛樂,ㄉㄨㄟˋ,duì,30,31
對方,4,B1,核心詞,ㄉㄨㄟˋ ㄈㄤ,duì fāng,215,40
對話,4,B1,核心詞,ㄉㄨㄟˋ ㄏㄨㄚˋ,duì huà,77,46
對象,4,B1,核心詞,ㄉㄨㄟˋ ㄒㄧㄤˋ,duì xiàng,96,34
頓,4,B1,核心詞,ㄉㄨㄣˋ,dùn,72,20
多半,4,B1,核心詞,ㄉㄨㄛ ㄅㄢˋ,duō bàn,50,19
多數,4,B1,核心詞,ㄉㄨㄛ ㄕㄨˋ,duō shù,53,28
躲,4,B1,核心詞,ㄉㄨㄛˇ,duǒ,56,42
嗯,4,B1,核心詞,˙ㄣ,en,73,363
兒童,4,B1,核心詞,ㄦˊ ㄊㄨㄥˊ,ér tóng,146,127
而已,4,B1,核心詞,ㄦˊ ㄧˇ,ér yǐ,165,93
耳,4,B1,身體、醫療,ㄦˇ,ěr,62,15
發,4,B1,核心詞,ㄈㄚ,fā,81,91
發明,4,B1,教育、學習,ㄈㄚ ㄇㄧㄥˊ,fā míng,66,57
發音,4,B1,教育、學習,ㄈㄚ ㄧㄣ,fā yīn,14,7
發展,4,B1,職業,ㄈㄚ ㄓㄢˇ,fā zhǎn,407,347
翻,4,B1,核心詞,ㄈㄢ,fān,42,56
翻譯/譯,4,B1,教育、學習,ㄈㄢ ㄧˋ/ㄧˋ,fān yì/yì,64,19
煩惱,4,B1,核心詞,ㄈㄢˊ ㄋㄠˇ,fán nǎo,47,53
反對,4,B1,教育、學習,ㄈㄢˇ ㄉㄨㄟˋ,fǎn duì,107,77
反應,4,B1,核心詞,ㄈㄢˇ ㄧㄥˋ,fǎn yìng,218,106
訪問/訪,4,B1,教育、學習,ㄈㄤˇ ㄨㄣˋ/ㄈㄤˇ,fǎng wèn/fǎng,66,99
放棄,4,B1,核心詞,ㄈㄤˋ ㄑㄧˋ,fàng qì,104,107
放下,4,B1,核心詞,ㄈㄤˋ ㄒㄧㄚˋ,fàng xià,60,53
非洲,4,B1,,ㄈㄟ ㄓㄡ,fēi zhōu,34,46
費用,4,B1,日常起居,ㄈㄟˋ ㄩㄥˋ,fèi yòng,37,32
分開,4,B1,核心詞,ㄈㄣ ㄎㄞ,fēn kāi,27,18
分數,4,B1,教育、學習,ㄈㄣ ㄕㄨˋ,fēn shù,28,21
分享,4,B1,社交、人際,ㄈㄣ ㄒㄧㄤˇ,fēn xiǎng,75,258
豐富,4,B1,核心詞,ㄈㄥ ㄈㄨˋ,fēng fù,98,130
夫妻,4,B1,個人資料,ㄈㄨ ㄑㄧ,fū qī,81,62
婦女,4,B1,核心詞,ㄈㄨˋ ㄋㄩˇ,fù nǚ,72,51
複習,4,B1,教育、學習,ㄈㄨˋ ㄒㄧˊ,fù xí,4,12
複雜,4,B1,核心詞,ㄈㄨˋ ㄗㄚˊ,fù zá,125,64
改變,4,B1,核心詞,ㄍㄞˇ ㄅㄧㄢˋ,gǎi biàn,372,360
改天,4,B1,核心詞,ㄍㄞˇ ㄊㄧㄢ,gǎi tiān,3,5
蓋,4,B1,餐飲、烹飪,ㄍㄞˋ,gài,108,164
蓋子,4,B1,餐飲、烹飪,ㄍㄞˋ ˙ㄗ,gài zi,7,12
感到,4,B1,核心詞,ㄍㄢˇ ㄉㄠˋ,gǎn dào,291,73
感動,4,B1,核心詞,ㄍㄢˇ ㄉㄨㄥˋ,gǎn dòng,67,186
感情,4,B1,社交、人際,ㄍㄢˇ ㄑㄧㄥˊ,gǎn qíng,106,81
感謝,4,B1,核心詞,ㄍㄢˇ ㄒㄧㄝˋ,gǎn xiè,78,94
鋼琴,4,B1,休閒、娛樂,ㄍㄤ ㄑㄧㄣˊ,gāng qín,53,12
高麗菜,4,B1,餐飲、烹飪,ㄍㄠ ㄌㄧˊ ㄘㄞˋ,gāo lí cài,5,29
